chunk_id,source,page,character_length,content
19,20210709-Research-Expose-Wakaf-Seri-6-Jadzil-Baihaqi-Penguatan-Akuntabilitas-Wakaf.pdf,4,226,"selesai. 
Hasil pengelolaan dan pengembangan aset wakaf diakui sebagai tambahan 
aset wakaf. Hasil pengelolaan dan pengembangan yang diakui sebagai 
tambahan aset wakaf adalah hasil neto berupa imbal hasil, dividen, keuntungan"
20,20210709-Research-Expose-Wakaf-Seri-6-Jadzil-Baihaqi-Penguatan-Akuntabilitas-Wakaf.pdf,5,770,"neto pelepasan investasi, dan bentuk penghasilan lainnya yang diperbolehk an 
menurut syariat Islam. Untuk imbalan Nazir, dasar penentuannya adalah hasil 
neto dari pengelolaan dan pengembangan aset wakaf yang telah direalisasikan 
dalam bentuk kas dan setara kas di periode berjalan. Dalam pasal 12 UU Wakaf 
disebutkan bahwa imbalan Nazir maksimal 10% dari hasil neto tersebut. Jika 
ada pengukuran ulang aset wakaf, maka selisih nilai aset wakaf bukan 
merupakan hasil pengelolaan dan pengembangan aset wakaf melainkan sebagai 
dampak pengukuran ulang aset wakaf. 
Penyaluran manfaat wakaf k epada maukuf alaih (peruntukan 
wakaf/penerima manfaat wakaf) sebagai beban pengurang aset wakaf. Dasar 
pengakuannya adalah manfaat wakaf diterima oleh maukuf alaih . Manfaat"
21,20210709-Research-Expose-Wakaf-Seri-6-Jadzil-Baihaqi-Penguatan-Akuntabilitas-Wakaf.pdf,5,775,"pengakuannya adalah manfaat wakaf diterima oleh maukuf alaih . Manfaat 
wakaf dapat berupa kas, aset lainnya dan manfaat ekonomi yang melekat pada 
aset wakaf seperti penyusutan dan amortisasi aset wakaf. Jadi, penyusutan dan 
amortisasi aset wakaf diakui sebagai beban penyaluran manfaat kepada maukuf 
alaih. 
Pengukuran 
Secara prinsip aset wakaf diukur dengan nilai wajar saat pengakuan awal 
kecuali wakaf uang y aitu dengan nilai nominal. Jika nilai wajar tidak dapat 
diukur dengan andal, maka aset wakaf tidak dapat diakui dalam laporan 
keuangan. Pada saat terjadi kenaikan atau penurunan nilai wajar aset wakaf, 
maka diakui sebagai dampak pengukuran ulang aset wakaf . Khusus untuk aset 
logam mulia diukur pada nilai wajar saat tanggal pengukuran. Perubahan nilai"
22,20210709-Research-Expose-Wakaf-Seri-6-Jadzil-Baihaqi-Penguatan-Akuntabilitas-Wakaf.pdf,5,782,"logam mulia diukur pada nilai wajar saat tanggal pengukuran. Perubahan nilai 
wajar diakui sebagai dampak pengukuran ulang aset wakaf. 
Penyajian 
Seluruh transaksi wakaf disajikan sesuai dengan fungsinya. Yang menjadi 
perhatian adalah ase t wakaf temporer (wakaf uang) yang diterima disajikan 
sebagai liabilitas, bukan penerimaan aset wakaf awal. 
Pengungkapan 
 Nazir perlu mengungkapkan kebijakan akuntansi, profil Nazir, identitas 
wakif, strategi pengelolaan dan pengembangan aset wakaf, perun tukan aset 
wakaf, persentase dan jumlah imbalan Nazir, rincian aset neto dan 
perubahannya, rincian wakaf temporer, penukaran aset wakaf, dan hubungan 
pihak berelasi antara wakif, Nazir dan/atau maukuf alaih. 
Pelaporan Keuangan 
Laporan keuangan Nazir yang lengkap terdiri dari:"
23,20210709-Research-Expose-Wakaf-Seri-6-Jadzil-Baihaqi-Penguatan-Akuntabilitas-Wakaf.pdf,5,663,"Pelaporan Keuangan 
Laporan keuangan Nazir yang lengkap terdiri dari: 
1. Laporan posisi keuangan pada akhir periode, 
2. Laporan rincian aset wakaf pada akhir periode, 
3. Laporan aktivitas selama periode, 
4. Laporan arus kas selama periode, 
5. Catatan atas laporan keuangan. 
 
 
C. METODE PENELITIAN 
 Penelitian ini menggunakan pendekatan studi literatur . Peneliti menelaah 
hasil-hasil penelitian terdahulu yang relevan untuk membuat formulasi 
penyelesaian permasalahan yang sedang dibahas. Tahapan yang dilakukan 
adalah menelusuri penelitian terdahulu yang relevan dan mengumpulkan data 
dukung, mengelompokkan sesuai topik bahasan, menganalisis temuan"
24,20210709-Research-Expose-Wakaf-Seri-6-Jadzil-Baihaqi-Penguatan-Akuntabilitas-Wakaf.pdf,6,738,"penelitian terdahulu, dan membuat simpulan. Metode yang digunakan adalah 
analisis deskriptif. Semua data yang terkumpul kemudian dianalisis dan 
dideskripsikan untuk memberikan gambaran yang jelas dan dapat memberikan 
pemahaman yang baik. 
 
D. HASIL DAN PEMBAHASAN 
D.1. Mekanisme Wakaf Uang 
Kebingungan masyarakat terhadap hukum wakaf uang menjadi hilang 
ketika terbit fatwa MUI yang memperbolehkan wakaf uang pada tahun 2002. 
Sebelumnya masyarakat di Indonesia hanya mengenal wakaf tanah atau bentuk 
property lainnya. Hal ini didasarkan pada pendapat sebagian besar ulama 
Syafi’iyyah yang dianut oleh mayoritas masyarakat Indonesia bahwa wakaf uang 
tidak sah karena habi s saat dimanfaatkan (Yasin, 2017) . Selain itu, kelompok"
25,20210709-Research-Expose-Wakaf-Seri-6-Jadzil-Baihaqi-Penguatan-Akuntabilitas-Wakaf.pdf,6,762,"tidak sah karena habi s saat dimanfaatkan (Yasin, 2017) . Selain itu, kelompok 
ulama lain menyatakan bahwa wakaf uang diperbolehkan dengan argumen 
dalam al -Quran dan Hadis tidak ada teks yang mengecualikan uang sebagai 
obyek wakaf. Dari kedua hukum ini lah yang menjadikan masyarakat menjadi 
bingung. 
Diperbolehkannya wakaf uang melalui fatwa MUI tahun 2002 kemudian 
dikuatkan dengan disahkannya UU Nomor 41 Tahun 2004 tentang Wakaf yang 
mengatur jenis harta benda wakaf dapat berupa benda tidak bergerak dan 
benda bergerak, termasuk uang, surat berharga, dan hak pate n. Selain itu, UU 
Wakaf juga memperjelas dibolehkannya wakaf berjangka (temporer). Sehingga 
dimungkinkan adanya model wakaf uang berjangka waktu diperbolehkan 
menurut undang-undang."
26,20210709-Research-Expose-Wakaf-Seri-6-Jadzil-Baihaqi-Penguatan-Akuntabilitas-Wakaf.pdf,6,741,"menurut undang-undang. 
Wakaf uang merupakan wakaf yang dapat dilakukan oleh seseorang, 
kelompok orang, atau lembaga berbadan hukum dalam bentuk uang tunai, 
termasuk surat -surat b erharga seperti saham dan sukuk (MUI, 2002) . Wakaf 
uang digunakan untuk hal -hal yang diperbolehkan menurut syariat Islam. 
Dalam pasal 22 UU Wakaf disebutkan bahwa manfaat aset wakaf digunakan 
untuk sarana dan kegiatan ibadah; sarana dan kegiatan pendidikan; sarana 
dan kegiatan kesehatan; bantuan kepada fakir miskin, anak terlantar, yatim 
piatu, beasiswa; peningkatan ekonomi umat; dan kesejahteraan umum lainnya 
yang tidak bertentangan dengan syariah dan peraturan perundangan. 
Wakaf uang dan wakaf surat berharga saat ini dapat menjadi alternatif"
27,20210709-Research-Expose-Wakaf-Seri-6-Jadzil-Baihaqi-Penguatan-Akuntabilitas-Wakaf.pdf,6,753,"Wakaf uang dan wakaf surat berharga saat ini dapat menjadi alternatif 
untuk mengembangkan aset wakaf yang tidak produktif untuk menciptakan 
kesejahteraan ekonomi (Berakon & Irsad, 2017) . Selain itu, wakaf uang dapat 
lebih fleksibel penggunaannya untuk membiayai pembangunan oleh Negara 
melalui Sukuk Negara Ritel da n Surat Berharga Syariah Negara (BWI, 2020) . 
Hasil pengumpulan dana dari kedua instrument tersebut digunakan untuk 
pembangunan infra struktur pendidikan dan infrast ruktur lain untuk 
kesejahteraan (Hariyanto, n.d.). 
 Dalam Fatwa MUI dan UU Wakaf disebutkan bahwa aset wakaf tidak 
boleh dijadikan jamin an, disita, dihibahkan, dijual, diwariskan, ditukar, atau 
dialihkan dalam bentuk pengalihan hak lainnya. Maka yang dimaksud"
28,20210709-Research-Expose-Wakaf-Seri-6-Jadzil-Baihaqi-Penguatan-Akuntabilitas-Wakaf.pdf,6,322,"dialihkan dalam bentuk pengalihan hak lainnya. Maka yang dimaksud 
penyaluran manfaat wakaf uang adalah hasil pengelolaan dan pengambangan 
aset wakaf yang berupa uang. Hasil pengelolaan dapat berupa imbal hasil, 
dividen, atau hasil penjualan investasi. Sedangkan aset wakafnya tidak dapat 
diberikan kepada maukuf alaih."
29,20210709-Research-Expose-Wakaf-Seri-6-Jadzil-Baihaqi-Penguatan-Akuntabilitas-Wakaf.pdf,7,730,"Peraturan BWI Nomor 1 Tahun 2020 membedakan antara wakaf uang dan 
wakaf melalui uang. Wakaf uang merupakan wakaf berupa uang yang dike lola 
secara produktif, hasilnya dimanfaatkan untuk maukuf alaih. Aset wakafnya 
berupa uang. Sedangkan wakaf melalui uang adalah wakaf dengan memberikan 
uang untuk membeli atau mengadakan aset sesuai dengan keinginan wakif 
untuk dikelola secara produktif. A set wakafnya berupa benda yang dibeli atau 
diadakan dari dana wakaf melalui uang. 
Mekanisme wakaf uang adalah sebagai berikut: 
1. Wakif menyerahkan uang kepada Nazir dalam jumlah minimal satu juta 
rupiah dan menentukan untuk selamanya atau jangka waktu tertentu 
(minimal 1 tahun) dan peruntukannya. Uang tersebut ditampung dalam"
30,20210709-Research-Expose-Wakaf-Seri-6-Jadzil-Baihaqi-Penguatan-Akuntabilitas-Wakaf.pdf,7,777,"(minimal 1 tahun) dan peruntukannya. Uang tersebut ditampung dalam 
rekening wakaf uang atas nama Nazir pada Lembaga Keuangan Syariah 
Pengumpul Wakaf Uang (LKS -PWU) dalam rekening titipan ( wadi’ah) 
(Pemerintah, 2006). 
2. Wakif mengisi form Akta Ikrar Wakaf (AIW). 
3. LKS-PWU mengeluarkan sertifikat wakaf uang untuk wakif. 
4. Nazir mengelola dan mengembangkan aset wakaf berupa uang. Nazir 
harus memisahkan wakaf uang untuk selamanya dan berjangka waktu. 
Wakaf uang berjangka waktu hanya dapat dikelola di LKS -PWU berupa 
investasi Giro dan Deposito (Furqon, 2012) . Sedangkan wakaf uang 
selamanya dapat dikelola dan dikembangkan dalam berbagai bentuk 
proyek produktif bagi kemaslahatan umat. 
5. Nazir harus mengasuransikan proyek produktif yang didanai wakaf uang"
31,20210709-Research-Expose-Wakaf-Seri-6-Jadzil-Baihaqi-Penguatan-Akuntabilitas-Wakaf.pdf,7,743,"5. Nazir harus mengasuransikan proyek produktif yang didanai wakaf uang 
pada Asuransi Syariah. 
6. Pengelolaan wakaf uang terbagi menjadi dua, yaitu langsung dan tidak 
langsung. Pengelolaan secara langsung yaitu wakaf uang dikelola pada 
proyek yang dikelola ol eh Nazir atau mitra Nazir. Sedangkan pengelolaan 
secara tidak langsung adalah melalui lembaga yang memenuhi kriteria 
dan menguntungkan seperti Deposito Syariah, Reksadana Syariah, Sukuk 
Negara Ritel, dan SBSN. 
7. Nazir mendapatkan imbal hasil dari pengelolaan wakaf uang. Nazir 
mendapatkan bagian dari imbal hasil bersih maksimal 10%. Minimal 50% 
dari imbal hasil bersih harus disalurkan pada maukuf alih. Dan sisanya 
sebanyak maksimal 40% untuk cadangan atau reinvestasi."
32,20210709-Research-Expose-Wakaf-Seri-6-Jadzil-Baihaqi-Penguatan-Akuntabilitas-Wakaf.pdf,7,284,"sebanyak maksimal 40% untuk cadangan atau reinvestasi. 
8. Nazir menyalurkan hak maukuf alaih atas manfaat wakaf uang kepada 
yang berhak menerima sesuai dengan program kerja Nazir. 
9. Khusus wakaf uang berjangka waktu, Nazir mengembalikan uang kepada 
wakif saat masa wakaf selesai."
33,20210709-Research-Expose-Wakaf-Seri-6-Jadzil-Baihaqi-Penguatan-Akuntabilitas-Wakaf.pdf,8,726,"Gambar 1. Mekanisme wakaf uang 
 
D.2. Mekanisme Wakaf Saham 
Wakaf saham adalah penyerahan saham oleh wakif untuk dimanfaatkan 
selamanya guna keperluan ibadah dan/atau kesejahteraan umat. Saham yang 
diwakafkan harus sesuai dengan ketentuan syariat Islam, yaitu saham yang 
terdaftar dalam Da ftar Efek Syariah (DES). Produk wakaf saham merupakan 
filantropi yang sedang berkembang dan banyak diminati karena sifatnya yang 
mudah dilakukan seiring dengan pesatnya saham syariah. Selain itu, saham 
merupakan instrumen yang telah mapan dengan segala per angkat 
pendukungnya (penjamin, penyimpan, pengadministrasi) sehingga layak untuk 
dijadikan aset wakaf. 
Wakaf saham sampai saat ini secara khusus tidak ada regulasi yang"
